4,6,12.7,2017-02-18 19:45:00,2017-02-18 19:45:00
4,7,3.8,2017-02-18 19:45:00,2017-02-18 19:45:00
4,8,7.7,2017-02-18 19:45:00,2017-02-18 19:45:00
4,9,7.2,2017-02-18 19:45:00,2017-02-18 19:45:00
4,10,10,2017-02-18 19:45:00,2017-02-18 19:45:00
4,11,7.7,2017-02-18 19:45:00,2017-02-18 19:45:00
4,12,37.9,2017-02-18 19:45:00,2017-02-18 19:45:00
4,13,119,2017-02-18 19:45:00,2017-02-18 19:45:00
4,14,9.7,2017-02-18 19:45:00,2017-02-18 19:45:00
4,15,9.7,2017-02-18 19:45:00,2017-02-18 19:45:00
4,16,40.4,2017-02-18 19:45:00,2017-02-18 19:45:00
4,17,11.8,2017-02-18 19:45:00,2017-02-18 19:45:00
4,18,7.5,2017-02-18 19:45:00,2017-02-18 19:45:00
4,19,9.2,2017-02-18 19:45:00,2017-02-18 19:45:00
4,20,3.4,2017-02-18 19:45:00,2017-02-18 19:45:00
4,21,9.3,2017-02-18 19:45:00,2017-02-18 19:45:00
4,22,12.2,2017-02-18 19:45:00,2017-02-18 19:45:00
4,23,7.8,2017-02-18 19:45:00,2017-02-18 19:45:00
4,24,5.3,2017-02-18 19:45:00,2017-02-18 19:45:00
4,25,6.6,2017-02-18 19:45:00,2017-02-18 19:45:00
4,26,6.8,2017-02-18 19:45:00,2017-02-18 19:45:00
5,1,6.8,2017-02-18 19:45:00,2017-02-18 19:45:00
5,2,7.4,2017-02-18 19:45:00,2017-02-18 19:45:00
5,3,5.6,2017-02-18 19:45:00,2017-02-18 19:45:00
5,4,8.6,2017-02-18 19:45:00,2017-02-18 19:45:00
5,5,0,2017-02-18 19:45:00,2017-02-18 19:45:00
5,6,13.2,2017-02-18 19:45:00,2017-02-18 19:45:00
5,7,8.6,2017-02-18 19:45:00,2017-02-18 19:45:00
5,8,9.5,2017-02-18 19:45:00,2017-02-18 19:45:00
5,9,6.2,2017-02-18 19:45:00,2017-02-18 19:45:00
5,10,3.6,2017-02-18 19:45:00,2017-02-18 19:45:00
5,11,7.2,2017-02-18 19:45:00,2017-02-18 19:45:00
5,12,41.7,2017-02-18 19:45:00,2017-02-18 19:45:00
5,13,123,2017-02-18 19:45:00,2017-02-18 19:45:00
5,14,11.3,2017-02-18 19:45:00,2017-02-18 19:45:00
5,15,24.4,2017-02-18 19:45:00,2017-02-18 19:45:00
5,16,14.5,2017-02-18 19:45:00,2017-02-18 19:45:00
5,17,7.5,2017-02-18 19:45:00,2017-02-18 19:45:00
5,18,9.2,2017-02-18 19:45:00,2017-02-18 19:45:00
5,19,16.2,2017-02-18 19:45:00,2017-02-18 19:45:00
5,20,5.7,2017-02-18 19:45:00,2017-02-18 19:45:00
5,21,8.7,2017-02-18 19:45:00,2017-02-18 19:45:00
5,22,6,2017-02-18 19:45:00,2017-02-18 19:45:00
5,23,15,2017-02-18 19:45:00,2017-02-18 19:45:00
5,24,12.7,2017-02-18 19:45:00,2017-02-18 19:45:00
